id,year,month,day,mets,pdf,label
3055,1901,05,02,1260640217778778.xml,1260640217786158.pdf,1901-05-02
3056,1901,05,03,1260640217814199.xml,1260640217820073.pdf,1901-05-03
3057,1901,05,04,1260640217847137.xml,1260640217852566.pdf,1901-05-04
3058,1901,05,06,1260640217878825.xml,1260640217884694.pdf,1901-05-06
3059,1901,05,07,1260640217911291.xml,1260640217916710.pdf,1901-05-07
3060,1901,05,08,1260640217943146.xml,1260640217948837.pdf,1901-05-08
3061,1901,05,09,1260640217974017.xml,1260640217979577.pdf,1901-05-09
3062,1901,05,13,1260640218116812.xml,1260640218124651.pdf,1901-05-13
3063,1901,05,14,1260640218156055.xml,1260640218163411.pdf,1901-05-14
3064,1901,05,15,1260640218198468.xml,1260640218205356.pdf,1901-05-15
3065,1901,05,16,1260640218238782.xml,1260640218245652.pdf,1901-05-16
3066,1901,05,17,1260640218278055.xml,1260640218285227.pdf,1901-05-17
3067,1901,05,18,1260640218317511.xml,1260640218323156.pdf,1901-05-18
3068,1901,05,20,1260640218349736.xml,1260640218355204.pdf,1901-05-20
3069,1901,05,21,1260640218383071.xml,1260640218388568.pdf,1901-05-21
3070,1901,05,22,1260640218417848.xml,1260640218426354.pdf,1901-05-22
3071,1901,05,23,1260640218456522.xml,1260640218462976.pdf,1901-05-23
3072,1901,05,24,1260640218493984.xml,1260640218499440.pdf,1901-05-24
3073,1901,05,25,1260640218527168.xml,1260640218532911.pdf,1901-05-25
3074,1901,05,10,12606402185510.xml,126064021812529.pdf,1901-05-10
3075,1901,05,11,126064021855428.xml,126064021864692.pdf,1901-05-11
3076,1901,05,27,1260640218560466.xml,1260640218565995.pdf,1901-05-27
3077,1901,05,28,1260640218591038.xml,1260640218596519.pdf,1901-05-28
3078,1901,05,29,1260640218623988.xml,1260640218629614.pdf,1901-05-29
3079,1901,05,31,1260640218656763.xml,1260640218662160.pdf,1901-05-31
3080,1901,06,01,1260640218694630.xml,1260640218701805.pdf,1901-06-01
3081,1901,06,03,1260640218730298.xml,1260640218736022.pdf,1901-06-03
3082,1901,06,04,1260640218763240.xml,1260640218768870.pdf,1901-06-04
3083,1901,06,05,1260640218795730.xml,1260640218801157.pdf,1901-06-05
3084,1901,09,18,1260640219177085.xml,1260640219185181.pdf,1901-09-18
3085,1901,09,20,1260640219221711.xml,1260640219233727.pdf,1901-09-20
3086,1901,09,21,1260640219277244.xml,1260640219282615.pdf,1901-09-21
3087,1901,09,23,1260640219308125.xml,1260640219313581.pdf,1901-09-23
3088,1901,09,24,1260640219342144.xml,1260640219348040.pdf,1901-09-24
3089,1901,09,25,1260640219374152.xml,1260640219380560.pdf,1901-09-25
3090,1901,09,26,1260640219406865.xml,1260640219412179.pdf,1901-09-26
3091,1901,06,14,126064021958002.xml,126064021965263.pdf,1901-06-14
3092,1901,09,27,1260640220627809.xml,1260640220986143.pdf,1901-09-27
3093,1901,09,28,1260640221469180.xml,1260640221478184.pdf,1901-09-28
3094,1901,09,30,1260640221716713.xml,1260640221721925.pdf,1901-09-30
3095,1901,10,01,1260640221749437.xml,1260640221754727.pdf,1901-10-01
3096,1901,10,02,1260640221781870.xml,1260640221787472.pdf,1901-10-02
3097,1901,10,03,1260640221813322.xml,1260640221818855.pdf,1901-10-03
3098,1901,10,04,1260640221845765.xml,1260640221851146.pdf,1901-10-04
3099,1901,10,05,1260640221878061.xml,1260640221883698.pdf,1901-10-05
3100,1901,10,07,1260640221908937.xml,1260640221915725.pdf,1901-10-07
3101,1901,10,08,1260640221956770.xml,1260640221963554.pdf,1901-10-08
3102,1901,10,09,1260640221991006.xml,1260640221996632.pdf,1901-10-09
3103,1901,10,14,1260640222127295.xml,1260640222132717.pdf,1901-10-14
3104,1901,10,15,1260640222167590.xml,1260640222174031.pdf,1901-10-15
3105,1901,10,16,1260640222203627.xml,1260640222209348.pdf,1901-10-16
3106,1901,10,17,1260640222234577.xml,1260640222240370.pdf,1901-10-17
3107,1901,10,18,1260640222266810.xml,1260640222272352.pdf,1901-10-18
3108,1901,10,10,126064022229413.xml,126064022235061.pdf,1901-10-10
3109,1901,10,19,1260640222297764.xml,1260640222303712.pdf,1901-10-19
3110,1901,10,21,1260640222331723.xml,1260640222337278.pdf,1901-10-21
3111,1901,10,22,1260640222364447.xml,1260640222370022.pdf,1901-10-22
3112,1901,10,23,1260640222397198.xml,1260640222402989.pdf,1901-10-23
3113,1901,10,24,1260640222429791.xml,1260640222435852.pdf,1901-10-24
3114,1901,10,25,1260640222470338.xml,1260640222476504.pdf,1901-10-25
3115,1901,10,26,1260640222503420.xml,1260640222509034.pdf,1901-10-26
3116,1901,10,28,1260640222537060.xml,1260640222543101.pdf,1901-10-28
3117,1901,10,29,1260640222570699.xml,1260640222576269.pdf,1901-10-29
3118,1901,10,30,1260640222602308.xml,1260640222608690.pdf,1901-10-30
3119,1901,10,11,126064022262168.xml,126064022267677.pdf,1901-10-11
3120,1901,10,31,1260640222635089.xml,1260640222640545.pdf,1901-10-31
3121,1901,11,01,1260640222668484.xml,1260640222674547.pdf,1901-11-01
3122,1901,11,02,1260640222705468.xml,1260640222711315.pdf,1901-11-02
3123,1901,11,04,1260640222742704.xml,1260640222749151.pdf,1901-11-04
3124,1901,11,05,1260640222774536.xml,1260640222780137.pdf,1901-11-05
3125,1901,11,06,1260640222806167.xml,1260640222811765.pdf,1901-11-06
3126,1901,11,07,1260640222836184.xml,1260640222841417.pdf,1901-11-07
3127,1901,11,08,1260640222865917.xml,1260640222871195.pdf,1901-11-08
3128,1901,11,09,1260640222897559.xml,1260640222903403.pdf,1901-11-09
3129,1901,11,11,1260640222929707.xml,1260640222935414.pdf,1901-11-11
3130,1901,10,12,126064022294441.xml,1260640222100093.pdf,1901-10-12
3131,1901,11,12,1260640222965396.xml,1260640222971716.pdf,1901-11-12
3132,1901,11,16,1260640223122226.xml,1260640223127588.pdf,1901-11-16
3133,1901,11,18,1260640223154055.xml,1260640223159806.pdf,1901-11-18
3134,1901,11,19,1260640223186193.xml,1260640223192164.pdf,1901-11-19
3135,1901,11,20,1260640223224923.xml,1260640223232439.pdf,1901-11-20
3136,1901,11,21,1260640223262589.xml,1260640223269238.pdf,1901-11-21
3137,1901,11,22,1260640223295170.xml,1260640223300628.pdf,1901-11-22
3138,1901,11,23,1260640223326153.xml,1260640223331537.pdf,1901-11-23
3139,1901,11,25,1260640223357897.xml,1260640223363113.pdf,1901-11-25
3140,1901,11,26,1260640223389271.xml,1260640223394816.pdf,1901-11-26
3141,1901,11,27,1260640223420618.xml,1260640223426147.pdf,1901-11-27
3142,1901,12,02,1260640223451122.xml,1260640223457708.pdf,1901-12-02
